product_id,sku,name,description,features,material,length_mm,dimensions,capacity,weight_kg,corrosion_resistant,uom,country_of_manufacture,category_id,timestamp,processed_timestamp
DA4140-0120,DA4140-0120,Aluminium Extra Heavy Duty Full Extension Slide 1200mm DA4140-0120,,,aluminium,17436.0,"{'length_mm': [1200.0], 'thickness_mm': [], 'extension_percent': []}",,13.93,False,,,61.0,2025-11-17 09:32:36.077950,2025-11-17T09:40:42.470026
DA4140-0150,DA4140-0150,Aluminium Extra Heavy Duty Full Extension Slide 1500mm DA4140-0150,,,aluminium,17442.0,"{'length_mm': [1500.0], 'thickness_mm': [], 'extension_percent': []}",,17.35,False,,,61.0,2025-11-17 09:32:36.077972,2025-11-17T09:40:42.470026
DA4140-0040,DA4140-0040,Aluminium Extra Heavy Duty Full Extension Slide 400mm DA4140-0040,,,aluminium,17394.0,"{'length_mm': [400.0], 'thickness_mm': [], 'extension_percent': []}",,,False,Each,,61.0,2025-11-17 09:32:36.078004,2025-11-17T09:40:42.470026
DA4140-0050,DA4140-0050,Aluminium Extra Heavy Duty Full Extension Slide 500mm DA4140-0050,,,aluminium,17403.0,"{'length_mm': [500.0], 'thickness_mm': [], 'extension_percent': []}",,,False,Each,,61.0,2025-11-17 09:32:36.078032,2025-11-17T09:40:42.470026
DA4140-0060,DA4140-0060,Aluminium Extra Heavy Duty Full Extension Slide 600mm DA4140-0060,,,aluminium,17409.0,"{'length_mm': [600.0], 'thickness_mm': [], 'extension_percent': []}",,,False,Each,,61.0,2025-11-17 09:32:36.078058,2025-11-17T09:40:42.470026
DA4140-0070,DA4140-0070,Aluminium Extra Heavy Duty Full Extension Slide 700mm DA4140-0070,,,aluminium,17415.0,"{'length_mm': [700.0], 'thickness_mm': [], 'extension_percent': []}",,,False,Each,,61.0,2025-11-17 09:32:36.078084,2025-11-17T09:40:42.470026
DA4140-0080,DA4140-0080,Aluminium Extra Heavy Duty Full Extension Slide 800mm DA4140-0080,,,aluminium,17421.0,"{'length_mm': [800.0], 'thickness_mm': [], 'extension_percent': []}",,,False,Each,,61.0,2025-11-17 09:32:36.078110,2025-11-17T09:40:42.470026
DA4140-0090,DA4140-0090,Aluminium Extra Heavy Duty Full Extension Slide 900mm DA4140-0090,,,aluminium,17427.0,"{'length_mm': [900.0], 'thickness_mm': [], 'extension_percent': []}",,,False,False,,61.0,2025-11-17 09:32:36.078138,2025-11-17T09:40:42.470026
DA4140-0100,DA4140-0100,Aluminium Extra Heavy Duty Full Extension Slide 1000mm DA4140-0100,,,aluminium,17430.0,"{'length_mm': [1000.0], 'thickness_mm': [], 'extension_percent': []}",,,False,False,,61.0,2025-11-17 09:32:36.078168,2025-11-17T09:40:42.470026
DA4140-0110,DA4140-0110,Aluminium Extra Heavy Duty Full Extension Slide 1100mm DA4140-0110,,,aluminium,17433.0,"{'length_mm': [1100.0], 'thickness_mm': [], 'extension_percent': []}",,,False,False,,61.0,2025-11-17 09:32:36.078195,2025-11-17T09:40:42.470026
DA4140-0120,DA4140-0120,Aluminium Extra Heavy Duty Full Extension Slide 1200mm DA4140-0120,,,aluminium,17436.0,"{'length_mm': [1200.0], 'thickness_mm': [], 'extension_percent': []}",,,False,False,,61.0,2025-11-17 09:32:36.078221,2025-11-17T09:40:42.470026
DA4140-0150,DA4140-0150,Aluminium Extra Heavy Duty Full Extension Slide 1500mm DA4140-0150,,,aluminium,17442.0,"{'length_mm': [1500.0], 'thickness_mm': [], 'extension_percent': []}",,,False,False,,61.0,2025-11-17 09:32:36.078247,2025-11-17T09:40:42.470026
DA4160,DA4160,Aluminium Heavy Duty Full Extension Slide DA4160,"Aluminium heavy duty full extension slide DA4160 delivers load rating upto 300kg, 100% extension & corrosion resistant. Used for batteries, buses, trains & aviation. Suitable for wide drawers.","DA - Aluminium Heavy Duty Slide Used for Batteries, Buses, Trains & Aviation Temperature Range Between -20º & 110º C Life time guarantee: it's Quick Ship ™ slides against defects in material and workmanship. Please Read more under Help and policy section.",aluminium,,,"{'value': 300.0, 'unit': 'kg'}",,False,Pair,,61.0,2025-11-17 09:32:36.078303,2025-11-17T09:40:42.470026
DA4160-0030-A,DA4160-0030-A,Aluminium Heavy Duty Full Extension Slide 300mm DA4160-0030-A,,,aluminium,17388.0,"{'length_mm': [300.0], 'thickness_mm': [], 'extension_percent': []}",,2.46,False,,,61.0,2025-11-17 09:32:36.078328,2025-11-17T09:40:42.470026
DA4160-0035-A,DA4160-0035-A,Aluminium Heavy Duty Full Extension Slide 350mm DA4160-0035-A,,,aluminium,17391.0,"{'length_mm': [350.0], 'thickness_mm': [], 'extension_percent': []}",,2.91,False,,,61.0,2025-11-17 09:32:36.078352,2025-11-17T09:40:42.470026
DA4160-0040-A,DA4160-0040-A,Aluminium Heavy Duty Full Extension Slide 400mm DA4160-0040-A,,,aluminium,17394.0,"{'length_mm': [400.0], 'thickness_mm': [], 'extension_percent': []}",,3.33,False,,,61.0,2025-11-17 09:32:36.078374,2025-11-17T09:40:42.470026
